,action_name
803,"kotlinFile##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
804,lineStringContent##1
805,simpleIdentifier##expected
806,functionDeclaration##fun##simpleIdentifier##functionValueParameters
807,actual
808,identifier##simpleIdentifier##.##simpleIdentifier
809,"propertyDeclaration##modifiers##val##variableDeclaration##
##getter"
810,"classBody##{##
##
##classMemberDeclarations##}"
811,literalConstant##123
812,clazz
813,simpleIdentifier##clazz
814,simpleIdentifier##method
815,in
816,simpleIdentifier##fail
817,assertTrue
818,simpleIdentifier##assertTrue
819,modifiers
820,simpleIdentifier##modifiers
821,\\
822,lineStringContent##\\
823,lineStringContent##)
824,"lineStringLiteral##""##lineStringContent##lineStringContent##lineStringContent##lineStringContent##lineStringContent##"""
825,matches
826,simpleIdentifier##matches
827,jumpExpression##return
828,forStatement##for##(##variableDeclaration##in##expression##)##controlStructureBody
829,loopStatement##forStatement
830,statement##loopStatement
831,Companion
832,statements##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis
833,"kotlinFile##
##
##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
834,"propertyDeclaration##modifiers##val##variableDeclaration##
"
835,"lineStringContent##\"""
836,"lineStringLiteral##""##lineStringContent##lineStringContent##lineStringContent##lineStringContent##lineStringContent##lineStringContent##lineStringContent##lineStringContent##lineStringContent##"""
837,TYPE
838,simpleIdentifier##TYPE
839,simpleIdentifier##joinToString
840,util
841,simpleIdentifier##util
842,List
843,simpleIdentifier##List
844,classDeclaration##modifiers##class##simpleIdentifier##typeParameters##classBody
845,typeParameters
846,simpleIdentifier##typeParameters
847,list
848,postfixUnaryExpression##primaryExpression##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix
849,12
850,statements##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis##statement##semis
851,block
852,simpleIdentifier##block
853,functionTypeParameters##(##)
854,->
855,Unit
856,simpleIdentifier##Unit
857,functionType##functionTypeParameters##->##type
858,type##functionType
859,foo1
860,simpleIdentifier##foo1
861,functionTypeParameters##(##type##)
862,index
863,simpleIdentifier##index
864,withIndex
865,simpleIdentifier##withIndex
866,$index
867,lineStringContent##$index
868,forStatement##for##(##multiVariableDeclaration##in##expression##)##controlStructureBody
869,testClass
870,simpleIdentifier##testClass
871,parametersWithOptionalType##(##)
872,anonymousFunction##fun##parametersWithOptionalType##functionBody
873,functionLiteral##anonymousFunction
874,primaryExpression##functionLiteral
875,parametersWithOptionalType##(##parameterWithOptionalType##)
876,lineStringContent##2
877,"kotlinFile##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
878,functionLiteral##lambdaLiteral
879,lineStringContent##3
880,"kotlinFile##
##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##topLevelObject##topLevelObject##<EOF>"
881,apply
882,Runnable
883,getClass
884,void
885,simpleIdentifier##apply
886,lineStringContent##4
887,args
888,simpleIdentifier##args
889,simpleIdentifier##simpleName
890,fail 1
891,lineStringContent##fail 1
892,fail 2
893,lineStringContent##fail 2
894,postfixUnaryOperator##!##excl
895,postfixUnarySuffix##postfixUnaryOperator
896,Set
897,simpleIdentifier##Set
898,let
899,simpleIdentifier##let
900,simpleIdentifier##toInt
901,inOperator##in
902,infixOperation##elvisExpression##inOperator##elvisExpression
903,"kotlinFile##
##
##packageHeader##importList##topLevelObject##topLevelObject##<EOF>"
904,importList##importHeader##importHeader##importHeader##importHeader
905,TYPE_USE
906,jvm
907,javaMethod
908,javaField
909,Kotlin
910,simpleIdentifier##javaMethod
911,"valueArguments##(##valueArgument##,##valueArgument##,##valueArgument##,##valueArgument##)"
912,simpleIdentifier##javaField
913,type
914,simpleIdentifier##type
915,message
916,simpleIdentifier##message
917,"functionValueParameters##(##functionValueParameter##,##functionValueParameter##,##functionValueParameter##,##functionValueParameter##)"
918,$message
919,$type
920,classDeclaration##modifiers##class##simpleIdentifier##typeParameters
921,new
922,modifiers##modifier##modifier
923,operation
924,simpleIdentifier##operation
925,simpleIdentifier##jvm
926,typeModifier##annotation
927,type##typeModifiers##typeReference
928,foo2
929,simpleIdentifier##foo2
930,functionType##receiverType##.##functionTypeParameters##->##type
931,returnType
932,simpleIdentifier##returnType
933,typeModifiers##typeModifier
934,lineStringContent##fail
935,"propertyDeclaration##var##variableDeclaration##=##expression##
##
"
936,Base
937,simpleIdentifier##Base
938,semis##;
939,statements##statement##semis##statement
940,assignableExpression##prefixUnaryExpression
941,+=
942,assignmentAndOperator##+=
943,assignment##assignableExpression##assignmentAndOperator##expression
944,fail 
